,Category,Frequency,Examples
22,Data Handling,3,"['Reads email data from a JSON file using json.load() into a Python dictionary or list.', 'Checks for empty data and gracefully returns:', 'Handles malformed or missing data gracefully through early checking.']"
23,Type Safety,3,"['Uses type-safe arithmetic operations (e.g., round, /, *) for conversions.', ""It remains fully type-safe under Python's type hinting system."", 'Ensures integer arithmetic throughout, avoiding type casting issues (== 1.0 remains but could be == 1).']"
24,Functionality Requirements,3,"['The program must use recursion to calculate the factorial.', ""Handle errors for negative numbers and floating-point numbers by displaying 'Error: Input must be a non-negative integer.' and returning None."", ""Do not use Python's built-in factorial function or any external libraries.""]"
25,Compatibility,3,"['Compatible with Python 3 standard libraries only.', 'Maintains compatibility with graphs that include both positive and negative edge weights.', 'Supports disconnected nodes by leaving their distance as infinity.']"
26,Function Characteristics,3,"['Has no side effects; deterministic behavior based on input.', 'Includes a descriptive docstring.', 'Implements a pure function with no side effects; output depends only on input parameters.']"
27,Function Implementation,3,"['Implement the distance calculation in a separate function.', 'Implement the angle calculation in a separate function.', 'Provide a complete Python function implementation for decrypting jokes.']"
28,Initialization,2,"['Initializes UI prompt and chat metadata during class instantiation.', 'Initializes distances with infinity and sets the starting node’s distance to 0.']"
29,Plot Customization,2,"[""Uses joint_kws={'color': 'green'} to color both the scatter points and regression line green."", ""Uses marginal_kws={'color': 'blue'} to retain blue color for the marginal histograms."", ""Must set joint_kws={'color': 'green'} to change regression line and scatter to green""]"
30,Plotting Functionality,2,"['Uses sns.jointplot() to create a joint plot combining scatter/regression and marginal distributions.', ""Sets kind='reg' to draw a regression line along with scatter points."", ""Specifies x='total_bill' and y='tip' to plot tip amount against total bill.""]"
31,Function Usage,2,"['Must use seaborn.jointplot()', ""Use 'sparse.hstack' for concatenating the matrices."", ""Use parentheses '()' instead of square brackets '[]' when passing matrices to the hstack function.""]"
32,Method Addition,2,"['Introduces a new method update_vlan(self, vlan) to support flow updates for existing VLANs.', ""Add a new method 'update_vlan' with a docstring explaining its purpose.""]"
33,Code Simplicity,2,"['Do not include comments or explanations within the code.', 'Do not implement error handling or consider edge cases beyond the provided data.', 'Avoid complex error handling or logging mechanisms.']"
34,Subplot Creation,2,"['Create two vertically arranged subplots using plt.subplots(2).', ""Call 'plt.subplots' with a single integer argument representing the number of subplots."", 'Create a subplot for each mobility trend (workplaces, residential, retail and recreation, grocery and pharmacy, parks, transit stations) and share the x-axis (date) across all subplots.']"
35,Implementation Details,2,"['This is a simple and deterministic rule.', 'The mock query format \'{values: [\'%s\']}\' % self.station_name simulates DSL-style API calls, though this string gets parsed in a non-robust way in the mock (via split(""\'"")[3]).', 'Use f-strings for dynamic content to modernize the solution.']"
36,Case Handling,2,"['Separately processes lowercase and uppercase letters using str.islower() and str.isupper() to maintain original casing.', 'Ensure the function handles both uppercase and lowercase letters while preserving their case.']"
37,Axis Labeling,2,"[""Labels the x-axis using plt.xlabel('X')."", ""Labels the y-axis to reflect its logarithmic nature using plt.ylabel('Y (log scale)'."", ""Label the x-axis of both subplots as 'x'.""]"
38,Library Imports,2,"['Imports necessary libraries: numpy, pandas, and matplotlib.pyplot.', 'Imports required libraries: matplotlib.pyplot, numpy, pandas, and seaborn.']"
39,Output Characteristics,2,"['Result is a single merged list with all elements in strict ascending order.', 'Output is deterministic for the same input.', 'Maintains a clear, minimal, and functional coding style.']"
40,Assertions,2,"['Enables independent test verification by using assertEqual, assertRegex, assertNotIn, assertIn.', 'Assumes consistent element IDs (id_new_item, id_list_table) and CSS classes (.has-error).', ""Include specific assertions to verify the presence of key functions such as 'get_self', 'return_value', and 'long_func'.""]"
41,Backward Compatibility,2,"['Maintains backward compatibility by only extending the existing configuration template.', 'Ensures backward compatibility by not modifying existing methods or priorities.']"
42,Grid Customization,2,"[""Sets the grid color to blue with color='blue'."", ""Sets the grid line style to dashed with linestyle='dashed'."", 'Customize the grid to be blue and dashed.']"
43,Import Statements,2,"['Imports NumPy to utilize np.nan and np.isnan() for NaN detection.', 'Ensure the import statement includes numpy as np.']"
44,DataFrame Structure,2,"[""Create a pandas DataFrame with columns 'Original String' and 'Modified String'."", ""Use pandas for data manipulation and ensure the DataFrame includes columns ['email', 'list', 'sum', 'mean']."", ""Ensure the function initializes an empty DataFrame with columns ['email', 'list', 'sum', 'mean'] if no data is present.""]"
45,Non-Alphabetic Character Handling,2,"['Leaves non-alphabetic characters (e.g. digits, punctuation) unchanged by checking character type.', 'Non-alphabetic characters should remain unchanged in the output.']"
46,Command-Line Interface,2,"['Uses argparse to support a command-line interface with subcommands.', 'Includes helpful command-line flags (-m, --mark, -r, --read, -s, --sound).', ""Include argument parsers for handling command-line arguments with subparsers for 'read' and 'events' commands.""]"
47,Function Documentation,2,"[""Include a docstring that describes the function's purpose, input, and output."", ""The docstring must describe the input as 'array of integers' and the output as 'Float representing the average of the unique elements'."", ""Include a detailed docstring describing the function's purpose and parameters.""]"
48,Testing and Validation,2,"['Provides thorough test coverage for edge cases including wrapping, mixed casing, non-letters, and empty input.', 'Includes assert statements in test cases for automatic validation.', 'Demonstrates usage with a main() test driver.']"
49,File Handling,2,"['Recursively searches all .txt files in the specified directory and its subdirectories.', 'Uses glob.glob(..., recursive=True) to gather matching files.', ""Reads each .txt file's content using standard file I/O.""]"
50,Email Formatting,2,"[""Constructs an email message with a subject line followed by newline-separated extracted names: 'Subject: Extracted Names\\n\\n<name1>\\n<name2>'."", ""Format the email message with the subject line 'Subject: Extracted Names' followed by the extracted names each on a new line."", ""Construct the email message as a simple string with 'Subject: Extracted Names\\n\\n' followed by the extracted names joined by '\\n'.""]"
51,Random Number Generation,2,"['Generates a deterministic list of integers in the range [1, range_limit].', 'Generate a list of random numbers within the specified range.']"
52,String Manipulation,2,"['Splits the string on commas and trims each part to get substrings.', 'Randomly selects one substring to replace (replace_idx).', 'Generates a new random string (of equal length) using random.choices(string.ascii_lowercase, k=...).']"
53,Database Interaction,2,"['Stores each received message into a MySQL database using SQLAlchemy ORM.', 'Defines a Monitor model with:', '- Auto-incrementing primary key (ID).']"
54,List Operations,2,"['Combines the lists using the + operator.', 'Calls .sort() on the combined list to sort it in ascending order.', 'Use list concatenation to merge the two input lists into a single list.']"
55,Calculations,2,"['Computes:', 'Sum of the numerical list associated with each email using np.sum.', 'Mean of the list using np.mean.']"
56,Visualization,2,"[""Generates a bar plot using Pandas’ plot(kind='bar') method for visual comparison of sum and mean values."", 'Uses Seaborn’s histplot() for visualizing distribution.', 'Disables kernel density estimation (kde=False) for a pure histogram.']"
57,Modular Design,2,"['Uses a modular design importing STEPS_MM from an external config module.', 'Keeps utility functions pure and reusable for integration into larger control systems.', 'Implements modular design by separating initialization, scoring, and ranking logic for clarity and reuse.']"
58,Output Specifications,2,"['Returns the p-value, indicating the likelihood of the observed distribution under the null hypothesis of independence.', 'Measure and include the time taken to generate the password in the output.', 'Format the output as a LaTeX table displaying the password, its strength, and the generation time.']"
59,Class Design,2,"['The class accepts an external sde_client, allowing separation of logic and external data source, which makes it testable and flexible.', 'The Station class encapsulates key information — name, shorthand, station ID, and region ID — as instance variables initialized in __init__.', 'Implement a `GroupDialogManager` class with methods for reading messages and subscribing to real-time events.']"
60,Sorting Mechanism,2,"['Implements a custom two-level sorting mechanism using primary and tiebreaker comparators.', 'Applies the tiebreaker comparator within each group to resolve ties.', 'Maintains ordering consistency by sorting the primary keys before flattening the grouped results.']"
61,Output Handling,2,"['Decrypted jokes are collected in a new list called decryptedJokes, which is returned by the function.', 'The function does not mutate the original list of jokes; it works on a new list of randomly sampled entries.', 'Uses IO from whaler.dataprep to handle output operations, writing a structured table (groundstates.csv) summarizing ground state energy comparisons.']"
62,Error Handling Constraints,2,"['All methods return None safely when the students list is empty.', 'Design avoids exceptions like ZeroDivisionError and IndexError.', 'Check for user existence without adding additional error handling or validation.']"
63,Structural Integrity,2,"['Preserves the structure and immutability of the original list by returning a new modified list.', 'Ensures type consistency by preserving the LinkedList structure in all branches.', 'Maintain the existing structure and functionality of the `sort` and `insert` methods.']"
64,Method Implementation,2,"['Adds support for element removal by defining a remove method in both Cons and Empty classes.', 'Completes the full interface for a basic functional-style linked list (insert, sort, remove).', 'Implement the `remove` method to correctly remove the first occurrence of an element.']"
65,Library Constraints,2,"['No external libraries other than mutmut, pytest, and pytest-cov are required, keeping the setup minimal and manageable.', 'Avoid using additional libraries beyond pandas, numpy, and json.']"
66,Naming Conventions,2,"['The class uses proper naming conventions and encapsulates all behaviors relevant to an animal instance.', ""Use a simple function name 'factorial'.""]"
67,Looping and Iteration,2,"['Use a loop to iterate over each letter in the joke.', 'Append each decrypted letter to a string within the loop.', 'Use an explicit for-loop to iterate over each array in the list.']"
68,Random Selection,2,"['The function uses random.sample() to randomly select the desired number of jokes from the input list.', 'Modify the function to allow for the selection of a specified number of jokes randomly.', 'Use the `random.sample()` function to implement random selection.']"
69,Functionality Enhancement,2,"['Introduces a powermod method using recursive successive squaring for efficient modular exponentiation.', 'powermod handles odd and even exponents recursively and reduces modulo c at the final step.', 'check_coprime_euler still verifies Euler’s theorem: a ϕ(b) modb=1 when a and b are coprime.']"
70,Decryption Logic,2,"['Each joke is decrypted character by character using the ROT13 cipher, where letters are shifted by 13 positions in the alphabet.', 'The ROT13 logic is applied conditionally based on whether the character is an uppercase or lowercase alphabet letter.', 'Non-alphabetic characters (e.g., punctuation, spaces) are preserved as-is during decryption.']"
71,Functionality,2,"['The function factorial is implemented recursively to compute the factorial of a number.', 'For positive integers, the function returns n * factorial(n - 1) to compute the factorial recursively.', 'A base case is included: factorial(0) returns 1, as defined mathematically.']"
72,Corrected Code Example,2,"['A corrected version of the erroneous code is provided, using for index, number in enumerate(numbers) to fix the issue.', 'The corrected output properly displays both index and value, reinforcing the intended usage of enumerate.', 'Provide a corrected version of the erroneous code with an explanation.']"
73,Mathematical Operations,2,"['Use arccos to calculate the angle and convert the result to degrees using (180 / math.pi).', 'Use numpy for mathematical operations such as exponentiation and minimum/maximum calculations.']"
74,Correct Usage Example,2,"['A working example is given using a for loop to iterate over a list of fruits with index, fruit in enumerate(fruits).', 'The output of the correct example demonstrates both the index and the value being printed for each element.', ""Include a correct example code snippet demonstrating the usage of 'enumerate'.""]"
75,Testing Requirements,2,"['Include a test case for n=0 to demonstrate the base case explicitly.', 'Demonstrate error handling through separate print statements in example usage.', 'The MockSDEClient must contain predefined station data for testing.']"
76,Rounding,2,"['Both distance and angle values are rounded to two decimal places.', 'Ensure the `mm_to_steps` function includes rounding to the nearest whole number using the round function.', 'Implement the `frequency_to_delay` function using the round function for accurate conversion to microseconds.']"
77,Deployment Flexibility,2,"['Enables compatibility with a service discovery environment such as Consul for improved portability and deployment flexibility.', 'Enables compatibility with a service discovery environment such as Consul for improved portability and deployment flexibility.']"
78,Erroneous Usage Example,2,"['An erroneous usage example is included where only one variable (index) is used in the loop, which causes unexpected unpacking behavior.', ""Present an erroneous code example that attempts to use 'enumerate' incorrectly by not unpacking the tuple.""]"
79,SMTP Connection,1,"['Establish the SMTP server connection using starttls for security.', 'Log in to the SMTP server using the provided email address and password.', 'Use smtplib.SMTP to send the email without additional error handling.']"
80,Regex Pattern Usage,1,"['Use a regex pattern to capture names outside of square brackets, excluding trailing spaces or empty strings.', ""Ensure the regex pattern captures any text not enclosed in square brackets, such as '(.*?)(?:\\[.*?\\]|$)'""]"
81,Code Conciseness,1,['Keep the code concise and avoid verbose error handling or complex data validation steps.']
82,Educational Value,1,['Focus on educational value by ensuring the response is comprehensive and informative.']
83,Empty String Handling,1,['Handle empty strings by appending them to the modified strings list without alteration.']
84,Output Demonstrations,1,['Include output demonstrations for both the correct and corrected erroneous examples.']
85,Mutation Testing Tools,1,"['Use `mutmut` and `pytest` for mutation testing.', 'Provide specific commands for installing `mutmut`, `pytest`, and `pytest-cov`.']"
86,Clarity and Accessibility,1,"['Ensure the response is structured with clear separation between explanation, examples, and outputs.', 'Avoid overly technical jargon to maintain clarity and accessibility.']"
87,Title Setting,1,"[""Set the title of the first subplot to 'Sine function' and the second to 'Cosine function'.""]"
88,Function Plotting,1,['Plot the sine function on the first subplot and the cosine function on the second subplot.']
89,Code Minimalism,1,"['Use minimal code to achieve the task.', 'Include only the essential commands for plotting.', 'Exclude axis labels, titles, and grid settings.']"
90,Purpose Explanation,1,"[""Provide a clear and concise explanation of the purpose of the 'enumerate' keyword in Python.""]"
91,Layout Adjustment,1,['Ensure the layout is adjusted using plt.tight_layout() to prevent overlapping elements.']
92,AES Encryption,1,"['Use AES encryption in EAX mode for encrypting the private key.', 'Generate a random 16-byte password for AES encryption.', 'Include a random nonce in the AES encryption process.']"
93,RSA Key Generation,1,"['Generate RSA keys with a size of 512 bits.', ""Use 'priv_key.save_pkcs1()' to serialize the private key before encryption.""]"
94,Complexity Requirements,1,['Include a comment explaining the time complexity as O(n).']
95,Methodology Constraints,1,['Avoid verbose statistical explanations or alternative methods.']
96,Docstring Requirements,1,"['Include detailed docstrings for each method, specifying parameter types and return types.']"
97,String Formatting,1,['Ensure all string formatting uses f-strings for consistency and readability.']
98,Method and Attribute Constraints,1,"['Do not add any methods or attributes beyond those specified in the prompt.', 'Adhere strictly to the specified attributes and methods without deviation.']"
99,Method Implementation Guidelines,1,"['Implement methods in a simple and direct manner, avoiding additional logic not requested.']"
100,Contingency Table Construction,1,['Construct the contingency table directly and check for small counts using `(contingency_table < 5).any().any()`.']
101,Method Specific Behavior,1,"['The `make_sound` method should print only the sound attribute without including the name attribute.', 'The `__str__` method should return a multi-line formatted string with each attribute on a new line.']"
102,Category Checking,1,['Check for single category using `len(data[col1].unique()) < 2` and `len(data[col2].unique()) < 2`.']
103,Data Type Checking,1,"['Use `np.issubdtype(data[col1].dtype, np.number)` or `np.issubdtype(data[col2].dtype, np.number)` to check for non-categorical data.']"
104,Chi-Square Test Execution,1,['Perform the chi-square test and return only the p-value.']
105,Character Checking,1,"['Check if the letter is an alphabet character using `letter.isalpha()`.', 'Separate handling for uppercase and lowercase letters using `letter.isupper()`.']"
106,Constraints on Methods,1,['Do not use `str.maketrans()` or `str.translate()` for decryption.']
107,Step-by-Step Guide,1,"['Provide a step-by-step guide with installation commands for `mutmut`, `pytest`, and `pytest-cov`.', 'Include a detailed step-by-step guide for setting up the test environment, including creating a `tests` directory and adding a test module with specific test cases.']"
108,Customization Restrictions,1,"['Avoid additional plot customizations such as grid lines, legends, or alternative color schemes.', ""Do not specify the 'figsize' parameter in the 'plt.subplots' function.""]"
109,Data Validation,1,"['Check if the DataFrame is empty and raise a ValueError if true.', 'Verify that the specified columns exist in the DataFrame and raise a ValueError if not.', 'Ensure the columns contain categorical data and raise a TypeError if they contain numerical data.']"
110,CDF Calculation Constraints,1,"['Calculate the CDF using value_counts and sort_index within a lambda function applied to each column.', 'Do not normalize the CDF values.', 'Ensure the lambda function for CDF calculation does not include the `sort=False` parameter.']"
111,Output Constraints,1,['Provide a direct return of the DataFrame without verbose explanations.']
112,Plot Customization Restrictions,1,"['Do not include any customization of plot aesthetics such as color maps or axis labels.', 'Avoid adding any additional annotations, titles, or comments to the plot.', 'Do not use advanced plotting features such as subplots or interactive elements.']"
113,Output Shape Requirement,1,"['Ensure the slicing operation results in a shape of (5,2,2).']"
114,Array Reshaping,1,['Reshape the index arrays to align correctly with the dimensions of the numpy array.']
115,Indexing Method,1,"['Use numpy arrays for indexing instead of lists.', 'Use `np.ix_` to create an open mesh from multiple sequences for indexing.']"
116,Data Specification,1,"[""Must plot 'total_bill' vs 'tip' from the tips dataset""]"
117,Constraints,1,"['Do not include error handling or additional comments in the code.', 'Do not use alternative encryption modes or key sizes.', 'Do not use libraries other than those specified for key generation and encryption.']"
118,Surcharge Application,1,"[""Use the condition 'total > 500 and total < 1000' to add a 5% surcharge."", 'If the total is greater than $2000, add a handling fee of 2% of the total.']"
119,DataFrame Copy,1,['Use a copy of the DataFrame to perform calculations to avoid modifying the original DataFrame.']
120,Algorithm Explanation,1,['Provide a detailed explanation of the algorithm used for password generation.']
121,Performance Metrics,1,['Define a function to measure the time taken to generate the password.']
122,Group-Specific Computation,1,"[""Ensure the computation is done for each group separately based on column 'a'.""]"
123,Validation Checks,1,"[""Include checks for sequences like 'qwerty' and 'poiuyt' in the password validation.""]"
124,DataFrame Manipulation,1,"['Directly manipulate DataFrame columns to store results.', ""Directly update the DataFrame within the function to add 'softmax' and 'min-max' columns.""]"
125,Avoid Vectorization,1,['Avoid using vectorized operations or pandas groupby for grouping.']
126,Iterative Approach,1,"['Use an iterative approach to compute softmax and min-max normalization for each group.', 'Perform manual calculations for softmax and min-max normalization within a loop.', 'Use a single loop with conditions to compute softmax and min-max normalization for each group.']"
127,Functionality Specifications,1,"['Use the torch.argmax function to find the class with the highest probability.', 'Reshape the result to match the required output format (n x 1 tensor).', 'Do not include any data loading or preprocessing steps.']"
128,Demonstration,1,['Demonstrate the output of both `combine_and_sort_lists` and `erroneous_combine_lists` using the provided example lists.']
129,Method Constraints,1,"['Avoid discussing alternative methods or optimizations.', 'Do not include unrelated topics or excessive detail.']"
130,Code Requirements,1,"['Provide a direct and concise code solution without additional explanations.', 'Use PyTorch functions to achieve the task.', 'Focus solely on converting the softmax output to class labels.']"
131,Plotting Specifications,1,"['Set the y-axis to a logarithmic scale.', 'Use `zip(*points)` to unpack the points for plotting.', 'Do not convert the list of points to a NumPy array.']"
132,Logic Maintenance,1,['Maintain the existing logic and structure of the function.']
133,Output Restrictions,1,"['Do not include commands to save the plot to a file.', 'Exclude any steps to explicitly display the plot.', 'Do not include the `plt.show()` command in the solution.']"
134,Educational Perspective,1,"['Highlight common mistakes in list merging and sorting to provide an educational perspective.', 'Ensure the response is clear, concise, and educational, suitable for someone learning about list operations in Python.']"
135,Error Handling Restrictions,1,['Refrain from adding error handling or data validation steps.']
136,Data Generation Constraints,1,"['Use np.random.randint to generate random data within the specified range.', 'Create a DataFrame with columns defined by the COLUMNS constant.']"
137,Logging and Error Handling,1,"['Avoid verbose logging or detailed error messages beyond the specified checks.', 'Do not include complex error recovery mechanisms or additional validation steps beyond the basic checks.']"
138,Backup Handling,1,"[""List files in the backup directory using 'os.listdir'."", 'Sort the list of backups and select the latest one based on the sorted order.', 'Ensure the backup is not a tar.gz file before restoration.']"
139,Backup Existence Checks,1,"['Check for the existence of the backup directory and return an error message if it does not exist.', 'Ensure there are backups available before proceeding with restoration.']"
140,Response Characteristics,1,"['Ensure the response is concise and directly addresses the problem.', 'Include a code snippet format in the response.']"
141,Code Snippets,1,"['Include code snippets for a function to calculate the area of a rectangle and its corresponding test cases.', 'Focus on a specific example, such as calculating the area of a rectangle.']"
142,Reshaping and Calculation,1,"['Incorporate reshaping and mean calculation in a single line of code.', 'Maintain the original 2D structure across bins by reshaping into a 3D array.', 'Calculate the mean across the last axis of the reshaped 3D array to preserve row structure.']"
143,Array Manipulation,1,"['Leverage numpy slicing to handle array dimensions without explicit loops.', 'Exclude incomplete bins by slicing the array to ensure only complete bins are considered.', ""Ensure the solution is compatible with numpy's array manipulation capabilities.""]"
144,Plotting Constraints,1,"['Create a simple line plot without additional elements like titles or labels.', 'Invert the axes so that y is plotted over x.']"
145,Restrictions on Methods,1,"['Avoid using compact or implicit methods like list comprehensions or numpy functions that combine checks in a single line.', 'Do not use numpy functions like `np.all()` or `np.any()` directly on the entire list of arrays.', 'Do not use any additional libraries or functions outside of numpy.']"
146,Running Tests,1,"['Explain how to run mutation tests using `mutmut` and check results.', 'Include commands for running `mutmut` to generate mutated code and `pytest` to run the test suite against each mutation.']"
147,Code Coverage Requirements,1,"['Ensure instructions for achieving a minimum code coverage of 90% using `pytest-cov`.', 'Explicitly mention the use of `pytest-cov` to measure code coverage and ensure it meets the minimum requirement of 90%.']"
148,Code Style and Readability,1,"['Ensure the solution is clear and easy to understand, prioritizing readability over brevity.']"
149,Control Flow,1,['Include a `break` statement to exit the loop early if a non-NaN array is found.']
150,Result Initialization and Logic,1,"['Assign `result` to `True` initially, and set it to `False` if any array does not contain NaN.', 'Ensure the logic explicitly checks `if any(np.isnan(arr)) == False` for clarity.']"
151,NaN Checking,1,"['Within the loop, apply `np.isnan()` to check for NaN values in each array.', 'Use the `any()` function to determine if there are any NaN values in the array.']"
152,Performance Restrictions,1,['Avoid performance optimizations or integration with other libraries or data sources.']
153,Coverage Reporting,1,"['Include details on generating an HTML report for code coverage using `pytest-cov`.', 'Include an example of an HTML report generated by `pytest-cov` to verify code coverage.']"
154,Complexity Enhancement,1,"['Add a new condition to apply a handling fee if the total is greater than $2000.', 'Increase the complexity by adding a new feature or condition.']"
155,Plot Type,1,"[""Must set kind='reg'""]"
156,Modularization,1,['Logic is modularized using calculate_distance and calculate_angle.']
157,Sorting,1,['Sort the list of random numbers before plotting.']
158,Code Style,1,"['Keep the code concise without detailed inline comments.', 'Do not include plt.close() to avoid closing the plot.']"
159,Boundary Checks,1,['Include boundary checks in the computation of alive neighbors to prevent out-of-bounds errors.']
160,Single-Pass Calculation,1,['Use a single-pass approach to calculate document frequencies for the entire corpus.']
161,Algorithm Integrity,1,['Maintain the original logic of the BM25 algorithm while optimizing for efficiency.']
162,Scoring Efficiency,1,"['Avoid recalculating document frequencies and IDF values during the scoring process.', 'Use pre-computed values in the scoring function to simplify calculations.', 'Focus on reducing redundant calculations to improve performance.']"
163,Initialization Optimization,1,"['Compute and store document frequencies for each term during initialization.', 'Compute and store inverse document frequencies (IDF) for each term during initialization.', 'Store term frequencies for each document during initialization.']"
164,Method Calls,1,['Include an explicit call to the tabulate_data method with headers.']
165,Data Writing,1,"['Utilize the IO class from whaler.dataprep for writing data.', ""Use 'IO' to write data with a method 'tabulate_data', passing 'columns', 'headers', and a string identifier for the data.""]"
166,Method Parameters,1,"[""Define a default output file name for the groundstates_all method as 'groundstates.csv'."", ""The method 'groundstates_all' must accept an optional parameter 'outname' with a default value of 'groundstates.csv'.""]"
167,Code Structure Preservation,1,"['Maintain the original code structure and formatting.', 'Retain the method of reading and processing the CSV file.', ""Ensure the database name 'germline_genotype_tracking' remains unchanged.""]"
168,Connection String Modification,1,"[""Replace 'localhost' with 'run-tracking-db.service.consul' in the connection string."", ""Ensure the connection string uses 'run-tracking-db.service.consul' as the host."", ""Include the port number '5432' in the connection string.""]"
169,Code Style Constraints,1,"['Exclude verbose comments, documentation, or logging to maintain conciseness.', 'Do not introduce alternative methods for user interaction or additional functionalities.']"
170,Functionality Constraints,1,"['Include a direct call to the `send_message` method immediately after token creation.', 'Focus the response on the core functionality of sending a message without added complexity.', ""Ensure the message is sent using the user's `user_id`.""]"
171,Type Modification,1,"[""Define Node as a Union of 'OrientedDNASegment' and 'str' to allow flexibility in the AssemblyGraph context while maintaining the original code structure.""]"
172,Documentation Consistency,1,"[""Ensure consistent capitalization in all method descriptions, particularly for terms like 'VLAN'."", ""Limit the detail in the docstrings for 'add_vlan', 'add_port', 'del_vlan', and 'del_port' methods.""]"
173,Debugging,1,"[""Do not include any debugging statements such as 'import ipdb; ipdb.set_trace()'.""]"
174,Test Clarity,1,['Ensure the test is concise and directly checks for the presence of specific functions without unnecessary verbosity.']
175,Data Structures,1,"['Use a dictionary to map parsed results for easier access and verification.', ""Use a dictionary comprehension to map parsed results by their 'name' attribute.""]"
176,Temporary File Management,1,"['Do not use tempfile.NamedTemporaryFile() for creating temporary files.', 'Do not include os.unlink() or any cleanup steps for temporary files.']"
177,Execution Path,1,"[""Use the fixed path 'tmp/import-optional-missing.neonx' for executing the compiled file in subsequent subprocess calls."", 'Avoid executing the original file directly; instead, use the temporary compiled file in subsequent subprocess calls.']"
