,Category,Frequency,Examples
15,error handling,4,"['Handles malformed or missing data gracefully through early checking.', 'Validates that the input path is a directory; raises ValueError if not.', ""Handle errors for negative numbers and floating-point numbers by displaying 'Error: Input must be a non-negative integer.' and returning None.""]"
16,assertions,3,"['Enables independent test verification by using assertEqual, assertRegex, assertNotIn, assertIn.', ""Assertions must confirm the page title contains 'To-Do' and the header contains 'To-Do lists'."", 'Use `assertIn` and `assertNotIn` to verify the presence and absence of text.']"
17,conversion,3,"['Converts between steps and millimeters using a configurable constant (STEPS_MM).', 'Supports bidirectional conversion: steps_to_mm and mm_to_steps.', 'Converts frequency (Hz) to delay (μs) to help regulate stepper motor pulse timing.']"
18,code_structure,3,"['Maintain a clear and concise code structure for readability.', 'Ensure the code maintains a structured and readable format.', 'Maintain the original code structure and formatting.']"
19,method,3,"['Uses sparse.hstack to preserve sparse format during stacking.', 'Converts the result back to csr_matrix using .tocsr().', 'Introduces a new method update_vlan(self, vlan) to support flow updates for existing VLANs.']"
20,iteration,3,"['Iterates over each array arr in the list using a for loop.', 'Use an iterative approach to compute softmax and min-max normalization for each group.', 'Perform manual calculations for softmax and min-max normalization within a loop.']"
21,clarity,3,"['Avoids using ASCII codes (ord() / chr()), instead relying on alphabet string lookup for clarity.', 'Avoid overly technical jargon to maintain clarity and accessibility.', 'Ensure the response is clear, concise, and educational, suitable for someone learning about list operations in Python.']"
22,import,3,"['Imports necessary libraries: numpy, pandas, and matplotlib.pyplot.', 'Imports NumPy to utilize np.nan and np.isnan() for NaN detection.', 'Ensure the import statement includes numpy as np.']"
23,sorting,3,"['Calls .sort() on the combined list to sort it in ascending order.', 'Assumes input lists are already sorted and contain unique elements.', 'Helps emphasize the importance of sorting even if individual lists are sorted.']"
24,data_manipulation,3,"['Uses zip(*points) to unzip the list of tuples into separate x and y sequences.', 'Directly manipulate DataFrame columns to store results.', ""Directly update the DataFrame within the function to add 'softmax' and 'min-max' columns.""]"
25,data_generation,3,"['Generates a 10×10 matrix of random values between 0 and 1 using np.random.random((10, 10)).', 'Generates a NumPy array of shape (length, 5) using np.random.randint() within the specified min_value and max_value range.', 'Use np.random.randint to generate random data within the specified range.']"
26,efficiency,3,"['Efficiently handles batch predictions by applying the operation on the whole tensor at once.', 'Uses built-in set, sum, and len for efficiency.', 'Use vectorized operations to ensure efficiency.']"
27,library,3,"['Uses numpy to handle high-dimensional array manipulation.', 'Uses NumPy for array manipulation and numerical computation.', 'Use `smtplib` and `email.mime` libraries for email operations.']"
28,function_definition,3,"['Defines a function g(df) that processes the DataFrame group-wise.', ""The function name must be 'calculate_distinct_average'."", ""The parameter name must be 'array'.""]"
29,data_processing,3,"['Strips trailing spaces and filters out empty matches using list comprehension.', 'Keeps the core functionality unchanged: reads a CSV, normalizes column names to lowercase, and loads the data into the pcawg_samples table.', 'Uses np.argmax to identify the best student.']"
30,determinism,3,"['Has no side effects; deterministic behavior based on input.', 'This is a simple and deterministic rule.', 'Output is deterministic for the same input.']"
31,optimization,3,"['Both find_station_id() and find_region_id() call getStations() separately, leading to repeated lookups — could be optimized by caching the result once.', 'Precomputes document frequencies and term frequencies during class initialization to avoid repeated calculations.', 'Stores inverse document frequency (IDF) values once using a logarithmic formula with smoothing.']"
32,data_handling,3,"['The mock query format \'{values: [\'%s\']}\' % self.station_name simulates DSL-style API calls, though this string gets parsed in a non-robust way in the mock (via split(""\'""))[3].', 'The MockSDEClient is a clean abstraction to simulate SDE calls.', 'It uses hardcoded data to return predictable results, allowing deterministic unit tests.']"
33,algorithm,2,"['Replaces Dijkstra’s algorithm with the Bellman-Ford algorithm to support negative weights.', ""Eliminates heap usage since Bellman-Ford doesn't require a priority queue."", 'Implement the Bellman-Ford algorithm to handle negative weights.']"
34,data structure,2,"[""An empty DataFrame with required columns: ['email', 'list', 'sum', 'mean']."", ""Constructs a Pandas DataFrame using specified COLUMNS = ['email', 'list']."", 'Use efficient data structures, such as dictionaries, to organize items by primary comparator.']"
35,function_usage,2,"['Within the loop, apply `np.isnan()` to check for NaN values in each array.', 'Use the `any()` function to determine if there are any NaN values in the array.', ""Use 'sparse.hstack' for concatenating the matrices.""]"
36,indexing,2,"['Defines two index lists: second = [1, 2] and third = [3, 4], corresponding to the 2nd and 3rd dimensions.', 'Performs advanced indexing with broadcasting to extract elements.', 'Converts second into a column vector using .reshape(-1,1) to enable broadcasting with third.']"
37,method_functionality,2,"['Implements generate_shorthand() to derive a shorthand name by splitting the full station name and using the first word.', 'find_station_id() and find_region_id() simulate querying structured data via a mock getStations() method, mimicking real-world API or DB responses.', 'Provide docstrings for each method to describe its functionality and parameters.']"
38,deployment,2,"['Intended to be deployed with RabbitMQ and MySQL services already running on the default host and port.', 'Enables compatibility with a service discovery environment such as Consul for improved portability and deployment flexibility.']"
39,data handling,2,"['Reads email data from a JSON file using json.load() into a Python dictionary or list.', 'Checks for empty data and gracefully returns:', 'Uses a set to compute the average over unique elements only.']"
40,computation,2,"['Computes:', 'Sum of the numerical list associated with each email using np.sum.', 'Mean of the list using np.mean.']"
41,function_parameters,2,"[""Accept parameters for the CSV file path, level of detail ('country' or 'subregion'), and regions to include."", ""Define a default output file name for the groundstates_all method as 'groundstates.csv'."", ""The method 'groundstates_all' must accept an optional parameter 'outname' with a default value of 'groundstates.csv'.""]"
42,visualization,2,"[""Generates a bar plot using Pandas’ plot(kind='bar') method for visual comparison of sum and mean values."", 'Uses Seaborn’s histplot() for visualizing distribution.', 'Disables kernel density estimation (kde=False) for a pure histogram.']"
43,modular_design,2,"['Uses a modular design importing STEPS_MM from an external config module.', 'Keeps utility functions pure and reusable for integration into larger control systems.', 'Implements modular design by separating initialization, scoring, and ranking logic for clarity and reuse.']"
44,integration,2,"['Integrate Pygame for rendering the car, sensors, and handling user events.', 'Ensure that the syllable_count function integrates both combo counting and vowel counting in a clear and modular manner.']"
45,comments,2,"['Do not include comments or explanations within the code.', 'Include a comment in the code explaining why files with zero matches are included in the result dictionary.', ""Include a comment about setting the file's count in the result dictionary, even if it's 0.""]"
46,exclusions,2,"['Avoid discussing alternative methods or optimizations.', 'Do not include unrelated topics or excessive detail.', 'Do not include any data loading or preprocessing steps.']"
47,methodology,2,"['Focus on the `replace()` method for adding HTML tags to the sentence.', 'Highlight the use of HTML tags in the context of Python string manipulation.', 'Replace the word with the HTML-tagged version in one step using f-string formatting within the replace method.']"
48,syntax,2,"[""Use parentheses '()' instead of square brackets '[]' when passing matrices to the hstack function."", 'Do not use modern syntax incompatible with Python 2 in the legacy execution block.']"
49,assertion,2,"['Replaces the debugging call (ipdb.set_trace()) with assertions for automated testability.', 'Verifies that the parsed function long_func contains exactly 8 lines in its body.', 'Confirms the presence of specific function names (get_self, return_value, long_func) in the parsed result.']"
50,logging,2,"['Logs received messages and database storage success to the console.', 'Includes basic console-based logging for both message reception and database insertion.']"
51,regex,2,"[""Uses re.findall('(.*?)(?:\\[.*?\\]|$)', text) to extract all text outside square brackets, treating bracketed content as non-capturing."", 'Use a regex pattern to capture names outside of square brackets, excluding trailing spaces or empty strings.', ""Ensure the regex pattern captures any text not enclosed in square brackets, such as '(.*?)(?:\\[.*?\\]|$)'""]"
52,cdf_calculation,2,"['Computes the cumulative distribution function (CDF) by applying a lambda function column-wise.', 'Uses value_counts() to count occurrences of each unique value.', 'Sorts values in ascending order with sort_index().']"
53,self_containment,2,"['Fully self-contained with necessary import os and import shutil.', 'Ensure the code is self-contained and starts with the function definition task_func().']"
54,function_structure,2,"['Introduces no changes to the structure or logic of the function beyond the case conversion.', 'Ensure the function is self-contained and starts with the specified import statements.']"
55,file_operations,2,"['Uses os.path.exists to check for the existence of the backup directory and target directory.', 'Removes the target directory using shutil.rmtree if it already exists.', 'Restores the backup using shutil.copytree to copy the latest backup to the original directory path.']"
56,class_structure,2,"['The class accepts an external sde_client, allowing separation of logic and external data source, which makes it testable and flexible.', 'The Station class encapsulates key information — name, shorthand, station ID, and region ID — as instance variables initialized in __init__.', 'The test class must extend from `unittest.TestCase`.']"
57,constraint,2,"['Ensures that partial bins at the end are dropped if their size < bin_size.', 'Must NOT modify marginal_kws or palette, so distribution remains blue']"
58,library usage,2,"['Uses math.acos and math.sqrt from Python’s standard math library.', 'Leverages NumPy functions (np.sum, np.mean) for efficient numerical operations.']"
59,test_structure,2,"['Provides step-by-step flow mimicking realistic user interactions.', 'Applies a helper method check_for_row_in_list_table to validate list item presence.', 'Tests are written to be idempotent, relying only on current browser state.']"
60,message_format,2,"[""Messages are expected to be in JSON format and are parsed using Python's json module."", 'Keeps the original message format and string interpolation intact.']"
61,parameter,2,"['Specifies a bin size bin_size = 3.', ""Must set kind='reg'"", ""Must set joint_kws={'color': 'green'} to change regression line and scatter to green""]"
62,message_broker,2,"['Uses RabbitMQ topic exchange (booking_topic) with a routing key of # to receive all events.', 'Asynchronously listens for messages using pika and basic_consume.', ""Connect to RabbitMQ using pika and set up a topic exchange with routing key '#'.""]"
63,response_format,2,"['Ensure the response is concise and directly addresses the problem.', 'Include a code snippet format in the response.', 'Ensure the response is concise and to the point.']"
64,demonstration,2,"['Demonstrates usage via main() with sample inputs and printed outputs.', 'Demonstrate the output of both `combine_and_sort_lists` and `erroneous_combine_lists` using the provided example lists.']"
65,validation,2,"['Validates inputs by checking:', 'If the DataFrame is empty.', 'If both col1 and col2 exist in the DataFrame.']"
66,case_handling,2,"['Separately processes lowercase and uppercase letters using str.islower() and str.isupper() to maintain original casing.', 'Ensure the function handles both uppercase and lowercase letters while preserving their case.']"
67,time complexity,2,"['The time complexity of the recursive function is O(n), as each call reduces n by 1.', 'Include a comment explaining the time complexity as O(n).']"
68,return_values,2,"['Returns a 4-tuple containing:', 'The RSA public key object.', 'The filename of the encrypted private key.']"
69,utility,2,"['Includes a chunking function for breaking sequences into fixed-size blocks (chunks).', 'All utility functions are stateless and reusable.', 'Provides utility wrappers without modifying global behavior, allowing safe import.']"
70,database_connection,2,"['Replaces localhost with a service URL run-tracking-db.service.consul in the PostgreSQL connection string to support service-based database resolution.', 'Maintains secure credential embedding (pcawg_admin:pcawg) and specifies the same database name (germline_genotype_tracking).', 'Replaces localhost with a service URL run-tracking-db.service.consul in the PostgreSQL connection string to support service-based database resolution.']"
71,class_definition,2,"['Implement a `GroupDialogManager` class with methods for reading messages and subscribing to real-time events.', 'Initialize the class with `api`, `chat_id`, and `profile_info` parameters.', 'Implement a Car class with methods for movement, rotation, and sensor updates.']"
72,code_quality,2,"['The code uses clear variable naming and inline comments to describe the logic, aiding readability and maintainability.', 'Prioritize code readability and correctness in the implementation of the neighbor count.', 'Ensure the solution is self-contained and does not rely on external libraries or functions.']"
73,input_handling,2,"['Ensure the function handles an empty input list by returning 0.0.', ""Use the input box with ID 'id_new_item' for entering to-do items."", 'Submit the input box using `send_keys(Keys.ENTER)`.']"
74,explanation,2,"[""Provide a clear and concise explanation of the purpose of the 'enumerate' keyword in Python."", 'Provide a clear explanation of why the `erroneous_combine_lists` function fails to produce a sorted list, highlighting the importance of the sorting step.', 'Highlight common mistakes in list merging and sorting to provide an educational perspective.']"
75,reproducibility,2,"['Ensures reproducibility using random.seed() and np.random.seed().', 'Use random.seed and np.random.seed for reproducibility.']"
76,key_generation,2,"['Generates an RSA public/private key pair with 512-bit key length using rsa.newkeys.', 'Generate RSA keys with a size of 512 bits.']"
77,random_number_generation,2,"['Generates a deterministic list of integers in the range [1, range_limit].', 'Generate a list of random numbers within the specified range.']"
78,conciseness,2,"['Exclude verbose comments, documentation, or logging to maintain conciseness.', 'Focus the response on the core functionality of sending a message without added complexity.', 'Ensure the solution is concise and directly addresses the requirement without additional logic or steps.']"
79,smtp_connection,2,"['Establish the SMTP server connection using starttls for security.', 'Log in to the SMTP server using the provided email address and password.', 'Send the email to the specified recipient address using the smtplib library.']"
80,error,2,"['An erroneous usage example is included where only one variable (index) is used in the loop, which causes unexpected unpacking behavior.', 'The error is explained: enumerate(numbers) returns pairs, so the loop must unpack both elements, not just one.', 'Demonstrates a logical error, not a syntax error.']"
81,grouping,2,"['Groups items by the value returned from the primary comparator.', ""Ensure the computation is done for each group separately based on column 'a'.""]"
82,flexibility,2,"['The function can be reused for different joke sets and different desired output lengths, making it flexible and extensible.', 'Works with any callables passed as primary and tiebreaker, allowing flexible comparator logic.']"
83,control_flow,2,"['Uses a while loop to retry until a valid password is found.', 'Include a `break` statement to exit the loop early if a non-NaN array is found.', 'Ensure the logic explicitly checks `if any(np.isnan(arr)) == False` for clarity.']"
84,arithmetic,2,"['Uses type-safe arithmetic operations (e.g., round, /, *) for conversions.', 'Ensure that the powermod function performs integer arithmetic, particularly in the modulus operation, to maintain the integrity of modular arithmetic.', 'Replace the use of math.pow with the newly implemented powermod function in check_coprime_euler to avoid floating-point arithmetic and ensure the result is an integer.']"
85,database_interaction,2,"['Stores each received message into a MySQL database using SQLAlchemy ORM.', 'Defines a Monitor model with:', 'Auto-incrementing primary key (ID).']"
86,return_value,2,"['Keeps return values standardized (lists), ensuring compatibility with expected calling patterns.', 'Return the path of the restored directory if successful, or an appropriate error message otherwise.']"
87,test cases,2,"['The program includes test cases that demonstrate both valid and invalid input handling.', 'Include a test case for n=0 to demonstrate the base case explicitly.']"
88,execution,2,"['Performs a chi-square test of independence using scipy.stats.chi2_contingency.', 'Designed to be executed as a standalone script that con.']"
89,non_alphabetic_handling,2,"['Leaves non-alphabetic characters (e.g. digits, punctuation) unchanged by checking character type.', 'Non-alphabetic characters should remain unchanged in the output.']"
90,style,2,"['Follows PEP8 formatting and naming conventions.', 'Avoid using compact or implicit methods like list comprehensions or numpy functions that combine checks in a single line.', 'Ensure the solution is clear and easy to understand, prioritizing readability over brevity.']"
91,command_line_interface,2,"['Uses argparse to support a command-line interface with subcommands.', 'Includes helpful command-line flags (-m, --mark, -r, --read, -s, --sound).', ""Include argument parsers for handling command-line arguments with subparsers for 'read' and 'events' commands.""]"
92,constraints,2,"['Do not use `str.maketrans()` or `str.translate()` for decryption.', 'Do not include error handling or additional comments in the code.', 'Do not use alternative encryption modes or key sizes.']"
93,loop,2,"['Use a loop to ensure the password meets all criteria before returning it.', 'Use an explicit for-loop to iterate over each array in the list.']"
94,input,2,"['Accepts two input lists as arguments.', 'Accepts a Pandas DataFrame and two column names as input for statistical testing.']"
95,extensibility,2,"['Improves code extensibility for downstream classes that implement VLAN update logic.', 'Lays groundwork for extensibility (e.g., filling in spinstates) while ensuring the core table structure is already in place.']"
96,rounding,2,"['Both distance and angle values are rounded to two decimal places.', 'Ensure the `mm_to_steps` function includes rounding to the nearest whole number using the round function.', 'Implement the `frequency_to_delay` function using the round function for accurate conversion to microseconds.']"
97,subplot_creation,2,"['Create two vertically arranged subplots using plt.subplots(2).', ""Call 'plt.subplots' with a single integer argument representing the number of subplots."", 'Create a subplot for each mobility trend (workplaces, residential, retail and recreation, grocery and pharmacy, parks, transit stations) and share the x-axis (date) across all subplots.']"
98,email_format,1,"[""Format the email message with the subject line 'Subject: Extracted Names' followed by the extracted names each on a new line."", ""Construct the email message as a simple string with 'Subject: Extracted Names\\n\\n' followed by the extracted names joined by '\\n'.""]"
99,dataframe_creation,1,"[""Create a pandas DataFrame with columns 'Original String' and 'Modified String'.""]"
100,string_manipulation,1,"['Use string manipulation techniques such as split and join to handle substrings.', 'Target segments between commas or the entire string if no commas are present for replacement.', 'Maintain the original comma-separated structure by replacing only one segment between commas.']"
101,empty_string_handling,1,['Handle empty strings by appending them to the modified strings list without alteration.']
102,backup_check,1,"['Check for the existence of the backup directory and return an error message if it does not exist.', 'Ensure there are backups available before proceeding with restoration.', 'Avoid verbose logging or detailed error messages beyond the specified checks.']"
103,function_output,1,['Return a list of the extracted names from the function.']
104,substring_replacement,1,"['Replace a substring with a random string of the same length, using lowercase ASCII characters.']"
105,random_seed,1,['Set the random seed at the beginning of the function to ensure reproducibility.']
106,modularization,1,['Logic is modularized using calculate_distance and calculate_angle.']
107,code structure,1,"['Incorporate reshaping and mean calculation in a single line of code.', 'Maintain the original 2D structure across bins by reshaping into a 3D array.', 'Calculate the mean across the last axis of the reshaped 3D array to preserve row structure.']"
108,decryption logic,1,"['Include logic for decrypting text using ROT13, handling both uppercase and lowercase letters.', 'Use a loop to iterate over each letter in the joke.', 'Check if the letter is an alphabet character using `letter.isalpha()`.']"
109,installation_guide,1,"['Provide a step-by-step guide with installation commands for `mutmut`, `pytest`, and `pytest-cov`.', 'Provide specific commands for installing `mutmut`, `pytest`, and `pytest-cov`.']"
110,mutation_testing_tool,1,"['Use `mutmut` and `pytest` for mutation testing.', 'Include commands for running `mutmut` to generate mutated code and `pytest` to run the test suite against each mutation.']"
111,educational_value,1,['Focus on educational value by ensuring the response is comprehensive and informative.']
112,output_demonstration,1,['Include output demonstrations for both the correct and corrected erroneous examples.']
113,corrected_code,1,['Provide a corrected version of the erroneous code with an explanation.']
114,error_explanation,1,['Explain the error in the erroneous code in detail.']
115,erroneous_example,1,"[""Present an erroneous code example that attempts to use 'enumerate' incorrectly by not unpacking the tuple.""]"
116,correct_example,1,"[""Include a correct example code snippet demonstrating the usage of 'enumerate'.""]"
117,random selection,1,['Use the `random.sample()` function to implement random selection.']
118,method_behavior,1,"['The `make_sound` method should print only the sound attribute without including the name attribute.', 'The `__str__` method should return a multi-line formatted string with each attribute on a new line.']"
119,mutation_test_execution,1,['Explain how to run mutation tests using `mutmut` and check results.']
120,attribute_adherence,1,['Adhere strictly to the specified attributes and methods without deviation.']
121,method_restriction,1,"['Do not add any methods or attributes beyond those specified in the prompt.', 'Implement methods in a simple and direct manner, avoiding additional logic not requested.']"
122,string_formatting,1,['Ensure all string formatting uses f-strings for consistency and readability.']
123,docstring,1,"['Include detailed docstrings for each method, specifying parameter types and return types.']"
124,function naming,1,"[""Use a simple function name 'factorial'.""]"
125,built-in function restriction,1,"[""Do not use Python's built-in factorial function or any external libraries.""]"
126,recursion,1,['The program must use recursion to calculate the factorial.']
127,solution,1,"[""Provide a concise solution using Python's string manipulation capabilities."", 'Include a specific example with a code snippet demonstrating the solution.', 'Explain the code briefly to ensure clarity and understanding.']"
128,calculation,1,"['Use arccos to calculate the angle and convert the result to degrees using (180 / math.pi).', 'Ensure the code is executable and correctly calculates the distance and angle.']"
129,code_example,1,"['Include code snippets for a function to calculate the area of a rectangle and its corresponding test cases.', 'Focus on a specific example, such as calculating the area of a rectangle.']"
130,code_coverage_requirement,1,"['Ensure instructions for achieving a minimum code coverage of 90% using `pytest-cov`.', 'Explicitly mention the use of `pytest-cov` to measure code coverage and ensure it meets the minimum requirement of 90%.']"
131,array manipulation,1,"['Leverage numpy slicing to handle array dimensions without explicit loops.', 'Exclude incomplete bins by slicing the array to ensure only complete bins are considered.', ""Ensure the solution is compatible with numpy's array manipulation capabilities.""]"
132,vectorization,1,['Avoid using vectorized operations or pandas groupby for grouping.']
133,grid_customization,1,"['Customize the grid to be blue and dashed.', 'Do not specify linewidth for the grid.', ""Use 'dashed' for the linestyle of the grid.""]"
134,library_restriction,1,"['Do not use numpy functions like `np.all()` or `np.any()` directly on the entire list of arrays.', 'Do not use any additional libraries or functions outside of numpy.']"
135,variable_initialization,1,"['Assign `result` to `True` initially, and set it to `False` if any array does not contain NaN.']"
136,plot features,1,['Do not use advanced plotting features such as subplots or interactive elements.']
137,plot display,1,"['Do not include commands to save the plot to a file.', 'Exclude any steps to explicitly display the plot.', 'Do not include the `plt.show()` command in the solution.']"
138,plot aesthetics,1,"['Do not include any customization of plot aesthetics such as color maps or axis labels.', 'Avoid adding any additional annotations, titles, or comments to the plot.']"
139,shape,1,"['Ensure the slicing operation results in a shape of (5,2,2).']"
140,data_copy,1,['Use a copy of the DataFrame to perform calculations to avoid modifying the original DataFrame.']
141,math_operations,1,['Use numpy for mathematical operations such as exponentiation and minimum/maximum calculations.']
142,code_solution,1,"['Provide a direct and concise code solution without additional explanations.', 'Focus solely on converting the softmax output to class labels.', 'Ensure the solution is minimal and to the point.']"
143,coverage_report,1,"['Include details on generating an HTML report for code coverage using `pytest-cov`.', 'Include an example of an HTML report generated by `pytest-cov` to verify code coverage.']"
144,plotting requirements,1,"['Set the y-axis to a logarithmic scale.', 'Use `zip(*points)` to unpack the points for plotting.', 'Do not convert the list of points to a NumPy array.']"
145,code simplicity,1,"['Use minimal code to achieve the task.', 'Include only the essential commands for plotting.', 'Exclude axis labels, titles, and grid settings.']"
146,list operation,1,"['Use list concatenation to merge the two input lists into a single list.', 'Include an explicit sorting step using the `sorted()` function to ensure the combined list is in ascending order.', 'Ensure the final output of `combine_and_sort_lists` is a single list sorted in ascending order.']"
147,algorithm_explanation,1,['Provide a detailed explanation of the algorithm used for password generation.']
148,complexity,1,"['Define character sets based on the specified complexity level: weak, medium, strong.']"
149,module,1,['Use the random module to generate the password.']
150,logic,1,"['Maintain the existing logic and structure of the function.', ""Use the condition 'total > 500 and total < 1000' to add a 5% surcharge."", 'If the total is greater than $2000, add a handling fee of 2% of the total.']"
151,feature,1,"['Add a new condition to apply a handling fee if the total is greater than $2000.', 'Increase the complexity by adding a new feature or condition.']"
152,test_environment_setup,1,"['Include a detailed step-by-step guide for setting up the test environment, including creating a `tests` directory and adding a test module with specific test cases.']"
153,data,1,"[""Must plot 'total_bill' vs 'tip' from the tips dataset""]"
154,setup_teardown,1,['Include `setUp` and `tearDown` methods for initializing and closing the browser.']
155,titles,1,"[""Set the title of the first subplot to 'Sine function' and the second to 'Cosine function'.""]"
156,temporary_file_management,1,"['Do not use tempfile.NamedTemporaryFile() for creating temporary files.', 'Do not include os.unlink() or any cleanup steps for temporary files.']"
157,connection_string,1,"[""Replace 'localhost' with 'run-tracking-db.service.consul' in the connection string."", ""Ensure the connection string uses 'run-tracking-db.service.consul' as the host."", ""Include the port number '5432' in the connection string.""]"
158,message_content,1,"[""Ensure the message is sent using the user's `user_id`."", ""The message content should be 'hello'.""]"
159,functionality_restriction,1,['Do not introduce alternative methods for user interaction or additional functionalities.']
160,user_validation,1,['Check for user existence without adding additional error handling or validation.']
161,method_call,1,"['Include a direct call to the `send_message` method immediately after token creation.', 'Call `channel.send_message` directly within the `get` method without defining a separate method.']"
162,error_message,1,"[""Print 'Adaptor initialization FAILED!' if sensor.begin() returns False."", ""Print 'Sensor communication ERROR.' if sensor.measure() returns False.""]"
163,return_value_check,1,"['Check the return value of sensor.begin() and exit the program if it returns False.', 'Check the return value of sensor.measure() and handle it with conditional logic.']"
164,type_definition,1,"[""Define Node as a Union of 'OrientedDNASegment' and 'str' to allow flexibility in the AssemblyGraph context while maintaining the original code structure.""]"
165,debugging,1,"[""Do not include any debugging statements such as 'import ipdb; ipdb.set_trace()'.""]"
166,execution_path,1,"[""Use the fixed path 'tmp/import-optional-missing.neonx' for executing the compiled file in subsequent subprocess calls."", 'Avoid executing the original file directly; instead, use the temporary compiled file in subsequent subprocess calls.']"
167,maintainability,1,"['Ensure the code remains readable and maintainable despite optimizations.', 'Maintain the original logic of the BM25 algorithm while optimizing for efficiency.']"
168,output_file,1,"[""Include the '-o tmp/import-optional-missing.neonx' option in the neonc command to specify the output file."", ""Direct the compiled output to the temporary file path 'tmp/import-optional-missing.neonx'."", ""Use the fixed temporary file path 'tmp/import-optional-missing.neonx' for the compiled output.""]"
169,structure,1,"['Focus on essential configuration directives without adding comments or default values.', 'Maintain a concise and specific structure in the configuration template.']"
170,dynamic_execution,1,"[""Use the 'exec' statement in a string form in Python 2 to allow dynamic evaluation of code.""]"
171,frame_retrieval,1,"['In the Python 2 version of exec_, retrieve the caller frame if globals and locals are not provided.']"
172,assignment,1,"['In Python 3, assign exec_ using __builtins__[""exec""] to avoid direct use of exec keyword.', 'In Python 3, map raw_input to input to maintain compatibility with Python 2 code.']"
173,test_cases,1,"[""Include test cases demonstrating the function's usage with example data.""]"
174,context_management,1,['Use a context manager to open the attachment file.']
175,email_sending,1,['Send the email to the list of recipients and handle exceptions during sending.']
176,file_attachment,1,"['Attach the file using `MIMEBase` and handle exceptions during attachment.', 'Encode the attachment using base64.']"
177,method_calls,1,['Include an explicit call to the tabulate_data method with headers.']
178,boundary_check,1,['Include boundary checks in the computation of alive neighbors to prevent out-of-bounds errors.']
179,response_style,1,"[""Maintain concise responses directly related to the simulation's core mechanics.""]"
180,bucket sorting,1,['The method should sort items into buckets based on the primary comparator and then sort each bucket using the tiebreaker comparator.']
181,method_usage,1,"[""Apply the .upper() method directly to the 'name' variable within the return statement."", 'Ensure the transformation to uppercase is performed inline within the return statement.']"
182,separation of concerns,1,"['Maintain a clear separation of concerns by having distinct functions for different tasks within the syllable counting process.', 'Separate the logic for counting combos and counting vowels to prevent double-counting.']"
183,modification,1,"[""Use underscores to mark removed 'combo' patterns to prevent double-counting."", ""Ensure that each identified 'combo' is counted as one syllable before removing them from the line."", 'Modify the line to remove or replace combo characters after counting them as syllables.']"
184,comparison,1,['Ensure that the check_coprime_euler function performs a floating-point comparison by returning `1.0`.']
